,categories,title,company_names,percentages,funding_amounts,days_left,n_supporters,likes,descriptions,durations,target_amounts
0,푸드,"초유70mg, 단백질 7g이 담긴 한줌견과 21포로 습관챌린지 하세요",주식회사 착한습관,306%,"3,064,300원",19일 남음,72,41,부족한 단백질 7g은 어떻게 채우실 건가요? '저당' '초유' 프리미엄견과로 맛있게 채워 보세요. 21일 습관의 법칙으로 고품질의 단백질 꾸준히 챙기실 수 있도록 도울게요.,2021.04.27-2021.05.17,"1,000,000원"
1,패션·잡화,"8534%앵콜ㅣ이탈리아&프랑스 명품 가죽의 스마트워치 스트랩, 8가지컬러",로이드(LLOYD),1559%,"46,777,200원",16일 남음,707,129,왓치유어컬러? 유럽 명품가죽을 입은 '스마트워치 스트랩' 을 4만원대에! 21년 S/S의 8개 컬러팔레트! 올 봄 여러분이 선택하신 원픽 컬러는 무엇인가요?,2021.04.27-2021.05.14,"3,000,000원"
2,패션·잡화,15년간 고집한 명품퀄리티ㅣ 발렌티노출신 디자이너의 미니백을 10만원대로,듀보스 디자인워크,4430%,"44,304,500원",19일 남음,344,110,발렌티노 출신 디자이너의 명품 토드백! 델레스트의 봄 신상을 와디즈에서 가장 먼저 만나보세요 :) 셀럽의 내돈내산 착샷으로도 주목받았던 델레스트의 감성을 10만원대에 만나보세요!,2021.04.27-2021.05.17,"1,000,000원"
3,테크·가전,[앵콜]신발냄새 잡는 끝판왕! 신발관리의 혁명 홈세라신발청정기U,(주)홈세라,819%,"8,198,000원",12일 남음,231,164,[가성비 끝판왕 1만원대] 신발 관리의 혁명! 신발도 청정하는 시대! 홈세라 신발살균청정기U S100으로 살균&탈취&건조까지 한번에 해결~청정해진 내 신발 뽀송뽀송 쿠션감UP!,2021.04.14-2021.05.10,"1,000,000원"
4,테크·가전,[4.7점 앵콜] 서포터가 인정한 차량용 클리어 무선충전거치대 핸디그랩!,핸디핸드,901%,"9,015,300원",26일 남음,306,91,"리워드 만족도 4.7점 , 메이커 만족도 4.8점!
세상에 없던 차량용 클리어 무선충전 거치대 핸디그랩 & 핸디그랩 프로",2021.04.27-2021.05.24,"1,000,000원"
5,뷰티,[마지막앵콜I파격이벤트] 일주일만의변화! 앰플왕의 마지막 귀환! SF앰플,주식회사 애디팬더,6095%,"30,475,000원",26일 남음,183,34,"감동적인 후기들! 미백, 모공케어, 주름개선, 극강보습, 피부케어까지 한번에! 앰플왕 미생물 SF앰플의 최종 마지막 앵콜! 피부와 몸에 좋은 유익균과 비교불가 총5개의 특허성분!",2021.04.28-2021.05.24,"500,000원"
6,스포츠·모빌리티,독일 1%의 슈퍼카들이 선택한 부스트업 코팅! 드디어 공개됩니다,다원상사,6435%,"32,176,650원",5일 남음,550,280,세라믹 코팅의 방오력과 실크같은 슬릭감을 가진 큐피온 마이부스터 시리즈 중 첫번째 대작! 쉴드부스터입니다. 수성코팅제의 장점을 차용하고 단점을 완벽하게 보완한 코팅제의 혁신입니다.,2021.04.16-2021.05.03,"500,000원"
7,홈리빙,[세탁질향상템] 퐁~! 한 알로 OK! 계면활성제 없이도 더 깨끗한 세제,주식회사 나인투식스 코퍼레이션,1202%,"6,012,600원",12일 남음,99,47,"모두의 빨래 고민 한 알로 싹 잡았습니다! 식품첨가물 성분 6종 효소, EWG 그린등급 안심 성분! 계면활성제 없이도 깔끔히 지워지는 검증된 세척력까지! 세탁질 향상템 런드리퐁!",2021.04.27-2021.05.10,"500,000원"
8,뷰티,<연예인들의 헤어스프레이>쓰면 쓸수록 모발이 좋아지는 헤어스프레이?,청담남자,1106%,"5,530,000원",21일 남음,121,46,"청담동 15년이상 경력의 헤어전문가들의 경험과 노하우를 담아
완성된 프리미엄 헤어스프레이!
모발 단백질 성분인 폴리펩타이드와 천연사탕수수원액을 주원료로 만든 차원이 다른 제품!",2021.04.28-2021.05.19,"500,000원"
9,홈리빙,"[한정수량 앵콜] 시원함에 중독되는 속시원한 마사지, 특허받은 딥롤러!",(주)메드사피엔스,767%,"7,678,250원",12일 남음,153,106,"헬스장, 필라테스센터, 마사지샵을 가고 싶은데..
요즘같은 시국에, 너무 비싸서, 시간이 없어서, 못 받으셨죠?
2021년에는 딥롤러로 집에서 관리하세요!",2021.04.19-2021.05.10,"1,000,000원"
10,홈리빙,[정수필터 장착!] 캡만 교체하면 일상/여가 모두 OK! 투페이스 텀블러,T-Cross,887%,"4,437,830원",19일 남음,80,40,"총 개발 비용만 30억! 모두에게 깨끗한 물을 선사하기 위해 텀블러 덕후가 만들었습니다. 세계인의 물건강을 생각해서 만든, 휴대용 정수 필터가 달린 텀블러, 투페이스를 소개합니다.",2021.04.27-2021.05.17,"500,000원"
11,패션·잡화,[4.7점 앵콜] 태양빛 충전 10ATM 얼티밋 솔라시계ㅣ10만원대 득템,(주)이월드 쥬얼리사업부 가산,1353%,"6,765,000원",9일 남음,51,40,"[2842%달성 & 4.7점] 성공리에 마무리된 얼티밋 솔라시계 프로젝트가 앵콜로 돌아왔습니다!
올 봄&여름의 태양빛 충전이 가능한 10ATM 솔라워치, 놓치지말고 꼭 겟하세요!",2021.04.27-2021.05.07,"500,000원"
12,뷰티,코시국에 비누공유? 그러다 세균공유! 외출할 때 필수 비누:누비,수우수,349%,"1,746,777원",15일 남음,57,42,"우리 모두의 손은 소중하다. 소중한 손을 위해 호남평야의 쌀로 만든 휴대용 가루비누, 누비를 소개합니다!",2021.04.27-2021.05.13,"500,000원"
