,categories,title,company_names,percentages,funding_amounts,days_left,n_supporters,likes,descriptions,durations,target_amounts
0,푸드,1008시간 드라이에이징! 이제 다른 고기 못 먹어요~,(주)더푸드랩,2061%,"10,306,200원",8일 남음,97,11,오리지널 독일산 드라이에이저의 기술력 / 1008시간 건조숙성공법의 특별한 맛 / 신선한 국내산 육우 /  3.5cm 이상 두꺼운 스테이크 컷/ 해썹인증시설,2021.04.29-2021.05.07,"500,000원"
1,푸드,"[임상완료] 여름 다이어트, 기능성 젤리로 손쉽게 3초컷 하세요!",(주)얼굴반쪽,1323%,"6,615,000원",18일 남음,69,32,"매년 새로운 다이어트에 지쳤다면...내가 먹고 있는 기능성 원료 함량을 확인해보자! 셀프임상 도전 8주, 가르시니아 2800mg 젤리 다이어트! #여름준비 #3초컷 다이어트",2021.04.29-2021.05.17,"500,000원"
2,푸드,에어프라이어가 찜닭까지 할 줄이야! 굽기만 하면 완성되는 놀라운 찜닭,주식회사 이밥차,335%,"1,677,200원",13일 남음,53,15,"고기로만 가득한 간편하게 '구워먹는 1인 찜닭!' 겉은 바-삭, 속은 촉~촉한 찜닭을 지금 만나보세요.",2021.04.29-2021.05.12,"500,000원"
3,푸드,"[100원 젤리] 1800% 앵콜, 손이 계속 가요 신바이오틱스 비타꾸미",주식회사 남양바이오,354%,"1,771,400원",18일 남음,47,5,젤리 먹고 싶은데  참으신 적 많으시죠? 이제는 신바이오틱스 비타민 젤리로 비타민과 유산균을 섭취해보세요.,2021.04.29-2021.05.17,"500,000원"
4,푸드,[악마의중독성] 저세상 감칠맛! 탱탱한 쭈꾸미와 양파 카라멜라이징의 조합,노마드크라운,263%,"1,315,900원",21일 남음,35,6,"큼직한 원스킨 쭈꾸미만 선별해 양파 카라멜라이징으로 감칠맛을 더한 혼슐랭 쭈꾸미 볶음을 소개합니다! 곱창, 막창과 함께 정말 많은 분들에게 사랑받고 있는 혼슐랭의 특급 신작입니다!",2021.04.29-2021.05.20,"500,000원"
5,푸드,[100% 스페셜티 커피 그 맛에 놀라다~!] 카메룬 블루마운틴 OKU,비아트레,132%,"661,000원",22일 남음,22,11,[카메룬 그 커피에 놀라다] 화산토양과 높은 해발고도(2100m) 그리고 화산호수의 신비스러운 안개가 만들어 낸 섬세한 산미와 단맛을 내는 최고의 커피,2021.04.29-2021.05.21,"500,000원"
6,푸드,"운전할때, 피곤하고 졸릴때 필수!! 고카페인 비타민에너지 캔디 확깨라잠",(주)지에스바이오,188%,"940,600원",11일 남음,33,8,천하장사가 와도 못 드는 내 무거운 눈꺼풀 확깨라잠이 들어 드릴게요.,2021.04.29-2021.05.10,"500,000원"
7,푸드,[관리 중에도 죄책감 없이] 식이섬유&단백질 바게트,(주)쓰리케어코리아,98%,"494,600원",13일 남음,17,10,"죄책감 없이 먹을 수 있는 간식, 이제 참지 말고 거꾸로당 식이섬유&단백질 바게트로 맛있게 먹으면서 관리하세요!",2021.04.29-2021.05.12,"500,000원"
8,푸드,[2차앵콜펀딩] 더 저렴해진 가격! 맛도 식감도 훌륭한 고당도 성주 참외,팔도이야기,121%,"607,000원",11일 남음,14,3,더 저렴해진 가격으로 돌아왔습니다!,2021.04.29-2021.05.10,"500,000원"
9,푸드,[당일수확/당일발송] 달고 진한 맛과 향을 품은 국내산 애플망고,농업회사법인 주식회사 편농,190%,"1,903,000원",7일 남음,24,3,사과를 닮아 붙여진 이름 애플망고! 충남 부여에서 재배중인,2021.04.29-2021.05.06,"1,000,000원"
10,푸드,[국민트리플콜라겐]  대한민국 국민을 위한 3가지를 한번에,주식회사 팜코스,54%,"270,000원",14일 남음,6,5,"[3 in ONE] 콜라겐, 엘라스틴, 히알루론산을 모두 모아 하나로",2021.04.29-2021.05.13,"500,000원"
11,푸드,[컴퓨터/스마트폰 많이 보시는분] 홍삼 넣은 '아로니아 결명자환',겨자꽃마을,38%,"380,800원",21일 남음,4,9,스마트폰과 컴퓨터로 지친 분들은 꼭 챙겨드세요! '아로니아/결명자' 그리고 '홍삼'까지 더한 건강환.,2021.04.29-2021.05.20,"1,000,000원"
12,푸드,[파인다이닝] 부드러운 양갈비 수비드 스테이크 집에서 먹자 ,퍼플캐럿,0%,0원,21일 남음,0,5,맛있는 양갈비 수비드 스테이크를 집에서 먹자,2021.04.29-2021.05.20,"500,000원"
13,푸드,[단.탄.식] 단백질+탄수화물+식이섬유의 하모니! 한끼 도시락 채소한하루,주식회사 셀푸드인터내셔널,884%,"8,842,700원",28일 남음,148,49,누군가의 한 끼를 그려보는 일만큼 두근거리는 일이 있을까요?,2021.04.28-2021.05.27,"1,000,000원"
14,푸드,"[유럽 대란템] 올 여름, 내 몸을 가꿔 줄 2kcal 과일 워터!",주식회사 파쳄,3637%,"36,379,000원",4일 남음,980,560,하루 물 2리터를 쉽고 맛있게 마시는 방법,2021.04.13-2021.05.03,"1,000,000원"
15,푸드,[3차앵콜] 미친 달달함! 초당옥수수 안먹어본 사람 없게 해주세요!,브라더팜,4483%,"22,415,500원",25일 남음,582,275,"달달한 옥수수의 끝판 왕! 슈퍼캔디콘의 등장! 지금까지의 옥수수는 잊어라! 달콤함도, 사이즈도 기존 옥수수를 초월한 초당옥수수를 소개합니다!",2021.04.17-2021.05.24,"500,000원"
16,푸드,"제발, 로투떡 안먹어본 사람 없게해주세요! 진짜 마약디저트가 돌아왔다.",농업회사법인(주)안성떡방,1747%,"8,736,300원",11일 남음,247,91,"로투떡은 증명된 마약떡, 이번엔 새로운 마약떡 3종 추가 되었습니다! 옥수수 크림치즈떡과 마약떡의 최강자 녹차크림떡! 까지 여러분 모두 모이세요!",2021.04.26-2021.05.10,"500,000원"
17,푸드,[100% 순 메밀면] X [미슐랭 쉐프 비법소스] 특별한 콜라보!,농업회사법인 (주) 올리,909%,"4,545,000원",12일 남음,161,44,옥동식 100% 비빔메밀면! 미슐랭 쉐프의 비빔면을 집에서 즐겨보세요.,2021.04.27-2021.05.11,"500,000원"
18,푸드,[캠핑 필수템] 아..곱며든다.. 대구 인생 맛집! 곱창 불고기 전골,공주푸드,246%,"1,232,320원",13일 남음,32,17,#재료준비NONO! 뜯어서 끓이기만 하면 되는 [곱창불고기전골],2021.04.28-2021.05.12,"500,000원"
