,categories,title,company_names,percentages,funding_amounts,days_left,n_supporters,likes,descriptions,durations,target_amounts
0,소셜·캠페인,[경제적 자립을 선물해요]  네팔로 101마리  소 보내기 후원 펀딩,재단법인 헤퍼코리아,26%,"2,666,500원",36일 남음,40,12,1944년 설립된 헤퍼는 6.25 때 한국에 가축을 보내며 빈곤 퇴치와 경제적 성장을 지원했던 단체입니다. 이제 우리나라에서 개도국에 가축을 선물하는 릴레이 펀딩을 진행합니다.,2021.04.28-2021.06.04,"10,000,000원"
1,소셜·캠페인,나 스스로의 가치와 마주하는 새삼스러운 대화의 시간 [가치 프로젝트],바이러닉,34662%,"346,620,000원",1일 남음,249,161,"이 세상에 완전하게 새로운 것은 없듯이, 여러분이 갖고 있는 '가치' 도 그럴 거에요. 내가 원래부터 가지고 있었던 가치에 관심을 쏟고 '재발견' 하는 대화의 시간을 준비했습니다!",2021.03.25-2021.04.30,"1,000,000원"
2,소셜·캠페인,전쟁같은 하루를 보낸 너와 나를 위한 그림책 <TO YOU>,사회복지법인월드비전,120%,"2,176,000원",4일 남음,101,16,전쟁 같은 오늘을 보낸 여러분과 전쟁으로 고통 받는 아이들에게 보내는 힐링 그림/컬러링책 <TO YOU>를 소개합니다.,2021.04.07-2021.05.03,"1,800,000원"
3,소셜·캠페인,전통시장을 구하려는 도깨비들의 이야기,김기은 (김기은),51%,"617,000원",32일 남음,29,16,영등포 전통시장과 창신동 문구완구시장 활성화를 응원하는 전액 기부 프로젝트,2021.04.01-2021.05.31,"1,200,000원"
4,소셜·캠페인,"길고양이에게 따뜻한 삶을, '공존 프로젝트'",오지수 (오지수),79%,"399,700원",15일 남음,39,19,"청년의 시점으로 청년, 환경, 반려동물 관련 문제들을 파악하고 함께 해결해 나가는것을 목표로 하고 있는 전지적 청년시점, 전청시팀 입니다.",2021.04.17-2021.05.14,"500,000원"
5,소셜·캠페인,"모계사회 동물들의 미혼모를 향한 따뜻한 메시지, '싱글몽글' 머그컵",변화된미래를만드는미혼모협회 인트리,21%,"219,000원",11일 남음,8,12,"""엄마와 아이"" 둘이서도 강인한 모계사회 동물들이 그려진 '싱글몽글' 굿즈와 함께, 우리 사회의 '싱글맘'에게 '몽글몽글'한 봄날을 선물해주세요.",2021.04.08-2021.05.10,"1,000,000원"
6,소셜·캠페인,취향에 대한 대화를 나누고 나의 행복을 찾아가는 흑백사진 [취향프로젝트],바이러닉,13400%,"134,000,000원",펀딩성공,265,177,"행복한 삶을 살아가는 방법은 그리 어렵지 않아요. 내가 평소에 뭘 좋아하는 지, 나의 취향에 대해서 정확히 알기만 하면 행복하게 살아갈 수 있어요. 당신은 언제 가장 행복하신가요?",2020.08.07-2020.08.31,"1,000,000원"
7,소셜·캠페인,"나를 사랑하고, 내 일을 사랑하는 사람을 위한 흑백사진 [내일 프로젝트]",바이러닉스튜디오,6113%,"61,130,000원",펀딩성공,250,214,"바이러닉을 방문했던 멋진 연예인들처럼 내가 사랑하는 나, 내가 사랑하는 내 일을 흑백하게 담아드립니다. 어디에나 자랑하고 싶은 명함, 힙한 액자, 맞춤 피규어로 특별해지길 바래요!",2020.02.04-2020.02.29,"1,000,000원"
8,소셜·캠페인,"카드 한장으로 몰카를 찾는 방법, 몰가드 프로젝트",몰가드(MOLGUARD),5047%,"25,238,100원",펀딩성공,"3,676",908,몰가드로 바꾸는 세상. 누구나 간편하게 몰카의 위협으로부터 나 자신을 보호하고 나아가 불법촬영 없는 세상을 만드는 프로젝트,2019.01.14-2019.02.17,"500,000원"
9,소셜·캠페인,#NurwaysWithYOU 이제는 우리가 간호사들을 간호할 차례입니다,널스노트,4130%,"20,653,000원",펀딩성공,"1,104",975,돌아보니 항상 간호사들은 우리 곁에 있었습니다.,2019.08.05-2019.09.05,"500,000원"
10,소셜·캠페인,"[앵콜/땡큐캡]감사합니다 우리의 영웅들, 그냥 지나치지 않겠습니다.",minganing (여상헌),3680%,"36,801,000원",펀딩성공,937,694,"무심코 스쳐 지나갔을 국가유공자분들께 감사함을 전하는 프로젝트입니다. 리워드로 쓰는 것만으로 감사를 전할 수 있는 모자를 드리고, 후원수익금으로 국가유공자분들께 모자를 기부합니다.",2019.12.23-2020.01.27,"1,000,000원"
11,소셜·캠페인,[Be the History; 위안부 피해 할머님 후원] 평화의 티셔츠,정용선 엄민혁 (정용선),2915%,"29,150,000원",펀딩성공,915,587,생존해 계신 위안부 피해 할머님은 18명 뿐입니다. 우리 할머님들과의 시간이 얼마 남지 않았습니다.,2020.04.06-2020.05.23,"1,000,000원"
12,소셜·캠페인,"세안 후 1분, 걱정없는 바를거리:차별없는 가치소비#점자디자인 수영장토너",이퀄베리,2785%,"27,859,200원",펀딩성공,902,322,"수영장토너의 마음기능성은 피부와 마음을 함께 채웁니다. 세안 후 피부 노폐물과 건조를 해결하지만, 누구나 매일 쓰기에 걱정과 차별이 없습니다. 물건 그 이상의 가치에 펀딩하세요.",2018.06.01-2018.07.02,"1,000,000원"
13,소셜·캠페인,안락사 없는 유기동물 보호소 대중화 프로젝트 [템플라도],따뜻한 세상,2726%,"27,265,000원",펀딩성공,732,328,[안락사 없는 유기동물 보호소 대중화 프로젝트],2019.02.27-2019.03.27,"1,000,000원"
14,소셜·캠페인,음료란 음료는 없습니다.,소나무장학회,2616%,"13,084,777원",펀딩성공,"1,447",14,"원하는 음료를 선택하기 어려운 시각 장애인을 위해 생활 속에서 그들을 기억할 수 있는 점자팔찌를 만들게 되었습니다. 팔찌를 차고 손으로 점자를 읽으며, 우리 사회 속에 소외된 이들에 대해 한 번 더 생각해 보는 계기가 되었으면 합니다.",2015.05.28-2015.07.05,"500,000원"
15,소셜·캠페인,차(Tea)알못도 빠져들어! 녹차 4종 테이스터+감성 휴대용 다도세트,우리다,2457%,"24,578,000원",펀딩성공,260,282,"바쁜 일상에서 한 템포 쉬어가고 싶은 순간, '우리다'의 하동 녹차&휴대용 다도세트와 함께하세요.",2019.09.27-2019.10.20,"1,000,000원"
16,소셜·캠페인,[씨드멤버 200명 모집]한강 노들섬에서 만나는 축제형 마인드풀 컨퍼런스,위즈덤 2.0 코리아 사무국,2253%,"45,078,000원",펀딩성공,305,133,실리콘밸리를 열광시킨 마인드풀 컨퍼런스가 한국에 찾아옵니다!,2019.11.12-2019.11.24,"2,000,000원"
17,소셜·캠페인," ""사지마세요, 입양하세요"" : 동물자유연대 2019 캘린더",동물자유연대,2187%,"21,871,000원",펀딩성공,677,129,"거리를 떠돌던 유기동물에서 사랑스러운 반려동물이 되기까지, 가슴 뭉클한 입양기가 담긴 동물자유연대 2019 캘린더",2018.11.23-2018.12.09,"1,000,000원"
18,소셜·캠페인,[소셜캠페인 참여1위] 불법촬영 두려워마세요! 간편한 몰카방지카드 몰가드,몰가드(MOLGUARD),2147%,"10,738,900원",펀딩성공,"1,101",361,카드 한장으로 만드는 불법촬영 없는 세상. 언제 어디서나 필요한 순간,2019.08.28-2019.09.22,"500,000원"
19,소셜·캠페인,[긴급구호펀딩] 국가 재난 사태 '강원 산불' 구호 펀딩,와디즈,2022%,"20,229,536원",펀딩성공,"1,155",226,"국가 재난이 된 강원도 산불 사고, 해당 지역 주민분들을 위해 와디즈가 크라우드펀딩으로 여러분과 힘을 모으고자 합니다.",2019.04.05-2019.04.11,"1,000,000원"
20,소셜·캠페인,"추운 겨울, 세상에서 가장 따뜻한 백팩",클로렌즈,1983%,"19,831,000원",펀딩성공,147,121,"유기동물을 돕는 가장 쉬운 방법, '클로렌즈'. 18FW새벽제주 캠페인과 백팩 전성시대를 이끈 ‘리오카이류’의 콜라보레이션 백팩! 수익의 절반은 제주도 유기동물을 위해 사용됩니다.",2018.10.31-2018.12.18,"1,000,000원"
21,소셜·캠페인,[앵콜] 한번만 안아주세요 :      유기견 후원 브랜드 1004ADT,1004ADT,1868%,"18,684,800원",펀딩성공,571,207,"1차펀딩 1300%을 넘은   유기견후원브랜드 ""1004ADT""",2018.07.12-2018.08.15,"1,000,000원"
22,소셜·캠페인,"할머니들께 따뜻한 시선을 돌려드리는 마르코로호 맨투맨, 모자 그리고 팔찌",Marco Roho,1787%,"35,747,000원",펀딩성공,"1,018",77,"""모두가 웃을 수 있는 세상""을 만들어가는 기부 캠페인 회사 마르코로호입니다. Marco Roho의 두번째 캠페인으로 할머니들께 따뜻한 시선을 돌려드리자는 주제로 LOVELY GRANNY 캠페인을 진행하고자 합니다.",2015.11.17-2015.12.16,"2,000,000원"
23,소셜·캠페인,[앵콜] 3톤 사료기부 유기견을 돕는 브랜드 1004ADT,1004ADT,1584%,"15,840,100원",펀딩성공,341,177,1차펀딩 1300% 2차펀딩 1800% 넘은,2018.09.27-2018.10.25,"1,000,000원"
24,소셜·캠페인,행복한 기억을 함께 나누며 다시 웃음을 찾는 사진 촬영 [웃음 프로젝트],드길,1551%,"15,510,000원",펀딩성공,91,66,코로나로 웃을일이 없었던 2020년.,2021.03.02-2021.03.15,"1,000,000원"
25,소셜·캠페인,우리 아빠 프사 바꾸기 대작전 2 by 더뉴그레이,더뉴그레이,1547%,"7,739,500원",펀딩성공,52,146,우리 아빠 프사 바꾸기 대작전 시즌 2 by the new grey,2019.01.30-2019.02.09,"500,000원"
26,소셜·캠페인,"남자, 이제 옷입기가 즐거워집니다. [THE BEFORE GREY]",헬로우젠틀,1472%,"7,360,000원",펀딩성공,33,45,"""오늘 뭐입지?""가 고민이 아니라 즐거움이 될 수 있습니다.",2019.10.25-2019.11.03,"500,000원"
27,소셜·캠페인,"길고양이에게 평화를, 우리나라 길고양이의 삶을 응원해주세요!",먼슬리실버,1450%,"7,254,000원",펀딩성공,228,127,우리나라 길고양이들의 보다 나은 삶을 위한 냥덕템/,2017.09.27-2017.10.23,"500,000원"
28,소셜·캠페인,대구/경북에 희망을! Hope Together with 신한,신한금융그룹,1442%,"1,442,114,837원",펀딩성공,"3,061",507,신종 코로나 바이러스 피해가 대구/경북 지역을 중심으로 확산되고 있습니다. 신한금융그룹이 지역사회를 응원하기 위한 가장 의미있는 방법으로 크라우드펀딩의 힘을 믿어보고자 합니다,2020.03.05-2020.04.13,"100,000,000원"
29,소셜·캠페인,1004ADT 유기견후원 브랜드 티셔츠,ADT (Abandoned Dog Together),1381%,"13,818,000원",펀딩성공,391,185,"남양주유기견보호소와 김포 아지네마을을 후원하는  ""1004ADT""",2018.05.02-2018.06.03,"1,000,000원"
30,소셜·캠페인,한나네 보호소의 유기견들을 돕기 위한 멍멍이히어로의 프로젝트,발광,1202%,"18,041,500원",펀딩성공,"1,050",5,세상엔 우리들보다 가지지못한 어려운 친구들이 많습니다.지금도 힘들어하고 있을 그 친구들을 위해 이 파티를 엽니다.힘내라 얘들아 (히어로 멍멍이 일동),2015.04.01-2015.04.30,"1,500,000원"
31,소셜·캠페인,"[땡큐캡] 감사합니다 우리의 영웅들, 그냥 지나치지 않겠습니다.",Minganing (여상헌),1196%,"11,967,000원",펀딩성공,408,358,"무심코 스쳐지나갔을 국가유공자분들께 감사함을 전하는 프로젝트입니다. 리워드로 쓰는 것만으로도 감사를 전할 수 있는 모자를 드리고, 후원수익금으로 국가유공자분들께 모자를 기부합니다.",2019.09.06-2019.09.29,"1,000,000원"
32,소셜·캠페인,"[다이어리 채우지 않아도 괜찮아] 1,520명의 불편을 담은 다이어리.",NITPICK,1162%,"5,814,100원",펀딩성공,178,120,'다이어리 채우지 않아도 괜찮아',2019.02.15-2019.03.03,"500,000원"
33,소셜·캠페인,티셔츠 한 장으로 생명을 살릴 수 있다면,클로렌즈,1113%,"11,134,900원",펀딩성공,435,164,티셔츠 1장 펀딩 시 한 마리의 동물이 한 달 동안 먹을 수 있는 사료가 전달됩니다. 역시즌 와디즈 슈퍼얼리버드(50% OFF)로 더 쉽게 클로렌즈와 함께 유기동물을 도와주세요.,2018.12.27-2019.02.10,"1,000,000원"
34,소셜·캠페인,힘내라 자영업자! Hope Together with 신한,(주)신한금융지주회사,1064%,"1,064,423,409원",펀딩성공,261,42,"대구와 경북에 희망을 전했던 신한금융그룹이 이번에는 대한민국에 힘을 전하고자 합니다. 소상공인과 자영업자 분들, 소외계층 어르신과 장애인 분들을 위한 크라우드펀딩을 진행합니다.",2020.04.16-2020.05.17,"100,000,000원"
35,소셜·캠페인,도로 위 당신을 지켜줄 '가디언벨',TEAM EIGHT,1047%,"5,237,500원",펀딩성공,167,145,"""오늘도 안전하세요"" 교통사고로부터 지켜주는 울림, 가디언벨",2019.01.15-2019.02.17,"500,000원"
36,소셜·캠페인,유기동물에게 크리스마스 선물이 되어주세요. 클로렌즈 맨투맨,클로렌즈 (박찬우),1034%,"10,348,000원",펀딩성공,157,58,클로렌즈는 열악한 유기동물 보호소를 돕는 소셜 스타트업입니다. 맨투맨 크리스마스 에디션 판매를 통해 추운 겨울 떨고있을 아이들과 소장님에게 희망이 되고자 합니다! 도와주세요 :),2017.11.24-2017.12.17,"1,000,000원"
37,소셜·캠페인,몽골에서 온 착한 캐시미어 옷,굿네이버스 기부스토어 ,1007%,"5,037,000원",펀딩성공,100,22,굿네이버스의 몽골  협동조합에서 만든 캐시미어 아동복입니다.,2016.12.26-2017.01.18,"500,000원"
38,소셜·캠페인,생명을 구하는 소방관 아저씨의 손을 지켜주세요,파이어 마커스,943%,"13,207,000원",펀딩성공,714,51,안녕하세요! 소방서에서 버려지는 폐 소방호스로 가방 및 잡화류를 제작하는 '파이어 마커스'입니다.,2015.09.16-2015.10.23,"1,400,000원"
39,소셜·캠페인,"[앵콜] 유기견의 생명을 살리는 티셔츠, klorenz",klorenz(클로렌즈) (박찬우),942%,"9,422,900원",펀딩성공,349,84,"소장님과 함께 200여 아이들이 열악한 환경에 처해있습니다. 한 끼 식사비를 아껴서 후원해 주신다면, 유기 동물들이 굶지 않고 아플 때 치료할 수 있습니다. 도와주세요!",2017.06.23-2017.07.23,"1,000,000원"
40,소셜·캠페인,[ 어독티브 후드집업 ] 반려견 헌혈 활성화 캠페인,어독티브,934%,"4,671,000원",펀딩성공,85,77,"""공혈견의 고통을 덜어줄 현실적인 방법은 반려견 헌혈문화의 활성화입니다""",2020.11.04-2020.12.04,"500,000원"
41,소셜·캠페인,"990원으로 지키는 나의 프라이버시, 몰가드 두 번째 이야기 '몰커버' ",몰가드,924%,"4,623,660원",펀딩성공,611,252,"몰가드 두 번째 이야기, 990원으로 지키는 나의 프라이버시! 몰커버. 누구나 쉽게 쓰게 하고 선물하여 디지털 성범죄 없는 세상을 만드는 프로젝트",2019.04.16-2019.05.19,"500,000원"
42,소셜·캠페인,"장애예술인의 이상을 담은 맨투맨, 후드티 - 에멜무지",emelmuxi,909%,"4,546,004원",펀딩성공,119,112,의류 브랜드 emelmuxi가 장애예술가 레지던시 잠실창작스튜디오 소속 작가들과 협업했습니다. 장애예술가들의 작품으로 의류를 제작하여 그들의 꿈과 도전을 응원하고자 합니다.,2020.08.24-2020.09.18,"500,000원"
43,소셜·캠페인,<Who am I?>  올 겨울 당신을 위한 특별한 맨투맨,ZOEN (고경표),879%,"13,194,120원",펀딩성공,342,129,올 겨울 당신의 마음만큼 따뜻한 맨투맨,2018.10.25-2018.11.14,"1,500,000원"
