,categories,title,company_names,percentages,funding_amounts,days_left,n_supporters,likes,descriptions,durations,target_amounts
0,스포츠·모빌리티,[해양 플라스틱 리사이클] 퍼포먼스 향상과 환경을 생각한 사이클링 삭스,주식회사 다락팩토리,9%,"95,000원",28일 남음,4,8,[덴마크 리사이클 러닝 브랜드 로케이] 양말 한 켤레 펀딩 시 해양 폐플라스틱 병 13개가 제거됩니다. 환경을 보호하고 성능은 높인 사이클링 삭스를 만나보세요!,2021.04.28-2021.05.27,"1,000,000원"
1,스포츠·모빌리티,독일 1%의 슈퍼카들이 선택한 부스트업 코팅! 드디어 공개됩니다,다원상사,6904%,"34,522,450원",4일 남음,590,292,세라믹 코팅의 방오력과 실크같은 슬릭감을 가진 큐피온 마이부스터 시리즈 중 첫번째 대작! 쉴드부스터입니다. 수성코팅제의 장점을 차용하고 단점을 완벽하게 보완한 코팅제의 혁신입니다.,2021.04.16-2021.05.03,"500,000원"
2,스포츠·모빌리티,"[1억6천 앵콜] 39,000원으로 누리는 프리미엄 선글라스 NEON",(주)에스앤에프,4597%,"45,973,500원",25일 남음,892,192,"NEON이 다시 돌아왔다!! 디자인과 기능, 그리고 가성비, 모든것을 갖춘 선글라스 NEON",2021.04.26-2021.05.24,"1,000,000원"
3,스포츠·모빌리티,"[앵콜 펀딩] 물리치료사와 작업치료사가 연구, 개발한 손목보호대",티케이 컴퍼니,4251%,"21,257,200원",1일 남음,614,637,"[로모슈 손목보호대] 디자인과 기능성 둘 다 놓치지 않았습니다. 여성의 니즈에 맞춰 디자인을 기획하고, 전문적인 경험을 바탕으로 제품을 완성하였습니다.",2021.04.15-2021.04.30,"500,000원"
4,스포츠·모빌리티,"(마지막앵콜)특허받은 문콕방지가드,이제는 자동차 색상에 맞게 부착하세요!",프라이스코리아,329%,"1,646,800원",18일 남음,111,42,이제! 문콕방지가드도 패션이다~ 특허받은 반디콕으로 자동차 디자인도 살리고 문콕도 예방하세요^^,2021.04.27-2021.05.17,"500,000원"
5,스포츠·모빌리티,[평점4.8/10억 앵콜] 허리걱정 이제 그만! 마사지+홈트 아이소스파인,아이소라이프,3117%,"62,347,000원",3일 남음,632,502,허리뻐근한 사람은 주목! 누워만 있어도 시원해지는 허리 운동기구! 허리 지압과 마사지에 복근운동까지 되는 홈트기구 [아이소스파인]으로 평생 허리습관을 챙기세요.,2021.04.11-2021.05.02,"2,000,000원"
6,스포츠·모빌리티,"[평점4.7 / 앵콜 4,291%] 발명특허 기술력 ""지몬 손목보호대""",굿럭,1860%,"9,301,500원",25일 남음,198,168,[우리 집 손목 지킴이] 발명특허 기술력과 미국FDA 안전성 검사 자석이 만났다고?! 손목 보호와 손목 지압을 동시에 할 수 있는 신개념 손목보호대!! [지몬 손목보호대],2021.04.23-2021.05.24,"500,000원"
7,스포츠·모빌리티,[앵콜펀딩] CLAX 카트 - 환경을 생각하고 똑똑한 소비로 가는 지름길,주)성진엘비,885%,"8,850,000원",32일 남음,33,93,[앵콜펀딩]Think green take it smart! 환경을 생각하고 똑똑한 소비로 가는 지름길 클랙스 카트! 서포터님의 성원에 힘입어 앵콜 펀딩으로 다시 돌아왔습니다!~,2021.04.23-2021.05.31,"1,000,000원"
8,스포츠·모빌리티,골프의 발상지 스코틀랜드 나의사랑 쓰리독나잇 골프,쓰리독나잇,630%,"6,300,400원",12일 남음,34,39,"스코틀랜드에서 탄생한 쓰리독나잇의 새로운 GOLF G 시리즈. 두가지 룩을 보여주기에 필드에서 더욱 주목받는 나의 캐디백 & 골프와 함께하며, 실생활에서 변신 사용 되는 보스턴백팩",2021.04.13-2021.05.11,"1,000,000원"
9,스포츠·모빌리티,바람위에 앉아있는 듯한 시원함! 젠틀 브리즈 통풍시트!,주식회사 지엠지모터스,852%,"4,261,800원",18일 남음,63,47,"시대가 변해가고, 자동차시트의 디자인도 변해가는데, 통풍시트의 디자인은 왜 변하지 않을까요!",2021.04.22-2021.05.17,"500,000원"
10,스포츠·모빌리티,국가대표도 신는 양말 끝판왕의 등장ㅣ세상에 하나 뿐인 논슬립 커스텀 양말,주식회사 위풋테크놀로지,369%,"3,690,700원",1일 남음,129,71,무수한 특허 기술을 양말 단 '한 켤레'에 넣은 양말 끝판왕이 등장했습니다.,2021.04.15-2021.04.30,"1,000,000원"
