,categories,title,company_names,percentages,funding_amounts,days_left,n_supporters,likes,descriptions,durations,target_amounts
0,교육·키즈,하하 히어로(HERO) 캠프,박상배성장경영연구소,659%,"3,298,000원",8일 남음,22,10,"여러분이 신년에 정한 계획이 정체되고 있다면... 대한민국 최고의 대가들과 함께 목표설정은 잘 되었는지, 방향과 속도는 맞는지 인생의 판을 바꿀 캠프를 통해 점검해 보세요.",2021.04.28-2021.05.07,"500,000원"
1,교육·키즈,잘 나가는 쇼핑몰은 이미 하고 있었다며? SNS광고 말고 GFA하자!,주식회사 연플,182%,"913,000원",26일 남음,15,13,요즘 잘 나가는 마케팅 채널은 뭘까요? 남들보다 앞서서 돈 잘 버는 쇼핑몰과 브랜드는 다 이거 하고 있었다고요? 아는 사람들만 활용하고 있던 GFA를 와디즈에서 처음 소개합니다!,2021.04.28-2021.05.25,"500,000원"
2,교육·키즈,<여름전배송> 카시트&유모차에 쓰는 에어포켓2 쿨시트! 땀 걱정 NO! ,(주)다이치에스앤비,2434%,"121,721,000원",오늘 자정 마감,"1,648",356,특허출원한 비교불가 바람 쿨시트! 다이치 에어포켓1이 에어포켓2로 업그레이드 되었습니다. 새로 추가된 타이머 기능으로  땀 많은 우리 아이 원하는 시간만큼 시원하게 케어해주세요.,2021.04.22-2021.04.29,"5,000,000원"
3,교육·키즈,"[놀기만해도 코딩공부가 된다고?!] 즐기면서 하는 첫 코딩, 코딩나이츠",주식회사 라이징크래프트,954%,"4,770,897원",1일 남음,79,55,"국영수'코' 시대! 어른들이 봐도 어려운 코딩, 어떻게 즐겁게 시작할 수 있을까요?",2021.04.14-2021.04.30,"500,000원"
4,교육·키즈,[퇴사X 코인X] 아이디어스&네이버에서 취미로 돈 버는 기술,그레이웨일,705%,"21,158,000원",13일 남음,417,765,"취미, 손재주 있으신가요? 그렇다면, 아이디어스에서 취미로 수익화 해보세요! 취미가 없으신가요? 없으시면 저희와 함께 찾아가시면 됩니다. 하루 10분만 투자하세요!",2021.04.14-2021.05.12,"3,000,000원"
5,교육·키즈,재테크&주식 하나로 끝! 점심시간 10분으로 인생떡상! 실전 주식클래스,주식회사 텐덤,2340%,"11,702,000원",4일 남음,221,138,베어유 인기 TOP 클래스! 최민 마스터의 실전 주식 클래스가 리뉴얼되어 돌아왔습니다 :),2021.04.08-2021.05.03,"500,000원"
6,교육·키즈,[2222%앵콜펀딩] 파이썬 주식투자 & 업무자동화 | 기초부터 응용까지,숄든,1041%,"10,415,000원",1일 남음,47,127,2000%이상 펀딩을 달성한 기초 + 응용 파이썬 강좌!,2021.03.22-2021.04.30,"1,000,000원"
7,교육·키즈,강남 인기수업 홍생수 체험단 펀딩,니디,77%,"386,500원",8일 남음,31,16,"강남 0.1% 초등 영재수학의 비밀, 강남 인기수업 홍생수의 체험단에 지원하세요!",2021.04.26-2021.05.07,"500,000원"
8,교육·키즈,"펜타블노트, 유기화학만을 위한 노트",사이언스브로,1035%,"5,175,200원",1일 남음,127,43,직접 공부하며 느낀 불편함을 연구합니다.,2021.03.17-2021.04.30,"500,000원"
9,교육·키즈,"5,195% 앙콜~~~~틀린 발음으로 영어 해본들, 무슨 소용 있겠어요?",솔라시도 주식회사,994%,"4,973,000원",32일 남음,148,77,5195% 펀딩된___[영어 훈민정음-한글표기 ㅍ한잌ㅅ 영어발음사전]___,2021.04.12-2021.05.31,"500,000원"
10,교육·키즈,배워서 바로 써먹는 데이터분석의 끝판왕! 쉽게 배워 바로 실무에 써먹자!,주식회사 씽킹랩,391%,"1,958,000원",19일 남음,20,28,"미래에 살아남는 필수스킬! 오직 와디즈에서만 최초 공개! 코딩없이, 파이썬과 R없이도 비전공자도 쉽게 배워 바로 써먹는 데이터 분석과 시각화, 머신러닝까지 데이터 끝판왕 패키지!!",2021.04.21-2021.05.18,"500,000원"
11,교육·키즈,[3개국어와분리수거를 한번에?]우리아이 체감형 교구 분리수거 특공대!,주식회사 노란버스,3%,"168,000원",4일 남음,4,20,친환경 교육을 통해 놀면서 배우는 3개국어 단어카드입니다.,2021.04.06-2021.05.03,"5,000,000원"
12,교육·키즈,[앵콜]본격 생산성 갑! 취미 생성 프로젝트! 바로쓰는 3D모델링 강의,머니매그넷 주식회사 ,110%,"1,104,000원",7일 남음,33,33,집에서 놀고 있는 3D 프린터가 있다면?,2021.04.22-2021.05.06,"1,000,000원"
13,교육·키즈,음식물이 떨어져도 두렵지 않아! 즐거운 육아를 위한 이유식 턱받이!,해윰(HAEYUM),102%,"1,029,000원",27일 남음,35,24,"실리콘과 방수원단의 장점을 모아 만들어진 턱받이! 길고 넓어 상체뿐만 아니라 하체까지도 보호하는, 실리콘이 코팅된 방수원단을 사용하여 더욱 안심할 수 있는 트렁크빕!",2021.04.20-2021.05.26,"1,000,000원"
14,교육·키즈,게임으로 한능검 준비를? 이게 머선129!,가온누리,82%,"414,500원",15일 남음,31,22,‘외쳐라! 지화자’는 교육 보드게임으로 재미있는 게임을 통해 지식을 습득할 수 있도록 하여 역사 공부를 쉽고 친숙하게 만드는 것을 목표로 만든 게임이에요!,2021.03.19-2021.05.14,"500,000원"
15,교육·키즈,[만족도 5.0 앵콜] 직장인을 위한 하루 10분 미드 영어 스터디!,파워잉글리쉬,57%,"288,000원",14일 남음,11,17,"바쁜 직장인과 혼공족을 위한 하루 10분 미드 영어 공부! 혼자 하면, 작심삼일이 되어 버리는 영어 공부, 온라인 스터디로 꾸준한 영어 공부 습관을 만들어 보세요!",2021.04.18-2021.05.13,"500,000원"
16,교육·키즈,<2021년 생존 마케팅 전략>영상콘텐츠와 영상광고로 매출과 브랜딩까지?,주식회사 연플,44%,"220,000원",12일 남음,4,14,매출이 성장하는 기업은 미리 하고 있다! 2019년부터 영상으로 제대로 매출 급성장한 회사의 마케팅 비밀노트! 미래의 생존 마케팅 스킬! 영상 마케팅과 영상광고의 모든 것!,2021.04.13-2021.05.11,"500,000원"
17,교육·키즈,쇼핑몰 CEO의 마케팅없이 수익 극대화시키는 온라인 클래스!,주식회사데이랩,34%,"344,000원",15일 남음,5,6,강사가 아닌 현업 쇼핑몰 CEO! 슈퍼셀러가 알려주는 레드오션 시장에서 월급 외 수익 만드는 비밀! 현장 강의는 조기 마감!,2021.04.26-2021.05.14,"1,000,000원"
18,교육·키즈,[앵콜펀딩] 전업 투자자 육성 매매법,클럽앤피,33%,"1,000,000원",22일 남음,17,4,"1) 친구에게도 알려주기 싫은 ""전업 투자자 육성 매매법""",2021.04.27-2021.05.21,"3,000,000원"
19,교육·키즈,N잡러를 위한 라이브커머스 온라인 교육,타오비즈랩(라이브커머스 코칭센터),3%,"100,000원",32일 남음,1,9,최신 온라인 커머스 트렌드인 라이브커머스 온라인 강의에 대한 프로젝트 입니다.,2021.04.21-2021.05.31,"3,000,000원"
20,교육·키즈,[4차앵콜]파이썬 입문부터 머신러닝까지 한번에! 실무에 바로 쓰는 파이썬,머니매그넷 주식회사 ,797%,"7,973,000원",펀딩성공,85,99,"코딩, 배우기만 했지 실제로 써먹어본 적은 없으신가요? 기업에서 먼저 선택한 그 커리큘럼 그대로, 지금부터 내 업무에 '진짜' 써먹을 수 있는 파이썬 시작해보세요!",2021.04.14-2021.04.28,"1,000,000원"
21,교육·키즈,<봄배송> 마이크로필터로 '안심'외출! 한스펌킨 아기띠가드가 지켜줄게요.,한스컴퍼니 주식회사,26938%,"134,692,600원",펀딩성공,"1,855",669,"★와디즈 단독 오픈★ 마이크로필터와 향균원단으로 만든 육아 필수템! 올 봄, <한스펌킨 숨쉬는 아기띠 가드>로 안심 외출하세요!",2021.04.08-2021.04.22,"500,000원"
22,교육·키즈,"육아필수템! 우리말, 영어, 중국어로 말하는 우리집 실내놀이터 세이하우스",주식회사 처음교육,25516%,"127,580,500원",펀딩성공,"1,355",597,[하뚱세이하우스] 다국어 벽그림차트가 우리 아이 놀이터로 변신했어요.,2020.11.18-2020.12.04,"500,000원"
23,교육·키즈,"와디즈 1억 달성의 노하우, 하루 10분으로 마케팅 신에게 배우는 강의",중간계캠퍼스,12779%,"127,798,000원",펀딩성공,265,213,돈버는기술 e-mba,2021.01.26-2021.02.08,"1,000,000원"
24,교육·키즈,"[1.2억/만족도 만점 앵콜]돈버는 기술, E-MBA",중간계캠퍼스,10854%,"108,548,000원",펀딩성공,248,168,"""누구에게 배우는가""에 따라 사업의 결과가 달라집니다. 전) CJ마케팅 부사장이자,",2021.03.21-2021.03.29,"1,000,000원"
25,교육·키즈,[2312%앵콜 + 4.8만족] IVY 출신이 만든 직장인 10분 영어,임서미 (임서미),10411%,"52,055,880원",펀딩성공,"1,256",705,"당신이 직장인이라면, 하루에 딱 10분만 주실래요? 미국에 가지 않고도 [툭 - 치면 툭 - 나오는 영어]를 하는 방법은 문법이 아니라 미드를 잘! 보는 방법에 있습니다.",2021.03.06-2021.03.22,"500,000원"
26,교육·키즈,"[새해 계획 추천] 하루 10분, 학습지로 인문학하기 <인문학 유치원>",주식회사 알다,8563%,"42,817,100원",펀딩성공,412,417,"매일 보는 유튜브가 지겹다면? 진정한 어른이 되기 위해 나를 이끄는 학습지. 하루 10분 투자로 철학, 역사, 예술을 한 번에~ 재밌게 풀고 쉽게 이해하는 가벼운 인문학 학습지",2021.01.04-2021.01.11,"500,000원"
27,교육·키즈,[평점 4.8 앵콜] 미국엄마도 선택한 알파벳학습기 ! 우리아이 취향저격,제이애드랩,8153%,"81,531,000원",펀딩성공,785,453,"우리 아이 영어 첫단추, 놀이를 통한 흥미유발,",2019.10.29-2019.11.18,"1,000,000원"
28,교육·키즈,"손으로 하는 진짜 코딩 공부, 코드라이언",주식회사 멋쟁이사자처럼,7264%,"36,324,002원",펀딩성공,293,275,7년간의 프로그래밍 교육의 경험을 토대로 탄탄하게!,2020.04.14-2020.05.03,"500,000원"
29,교육·키즈," [코딩 해볼래요?] - 하루 11분, 60일이면 완성하는 파이썬 마스터",인프런,6646%,"132,934,501원",펀딩성공,"1,670",1438,우리의 하루를 조금 더 나아지게 할 필수 강의! 배우고 어제보다 나은 날들을 보내보세요.,2019.12.30-2020.01.27,"2,000,000원"
30,교육·키즈,[독서습관+두뇌개발] 스마트폰 NO! 볼로냐 수상 작가의 사운드북!,바이시클(주),6406%,"32,034,600원",펀딩성공,547,216,볼로냐 수상작가의 아름다운 그림과 영유아 교육전문가의 노하우가 담긴 그림책을 만나보세요.,2020.08.11-2020.09.02,"500,000원"
