,categories,title,company_names,percentages,funding_amounts,days_left,n_supporters,likes,descriptions,durations,target_amounts
0,모임,"[영화모임] 한 편의 영화 같은 3개월, 담화관 시즌모임으로 초대합니다!","영화 그 후의 이야기, 담화관",1136%,"5,681,000원",펀딩성공,41,67,다양한 분야의 사람들과 영화에 대한 감상을 공유하고 싶다면 담화관으로 오세요!,2020.01.29-2020.02.19,"500,000원"
1,모임,[5.0점앵콜] 퇴직/이직 전 진짜 내가 하고 싶은 일을 찾는 곳ㅣ사하라,사하라,805%,"8,050,000원",펀딩성공,24,84,당신의 하고 싶은 일은 분명히 있습니다.,2019.12.18-2019.12.29,"1,000,000원"
2,모임,"퇴직/이직 하기 전, 진짜 내가 하고 싶은 일을 찾는 곳 <사하라>",사하라,582%,"5,820,000원",펀딩성공,13,65,당신의 하고 싶은 일은 분명히 있습니다.,2019.08.07-2019.08.25,"1,000,000원"
3,모임,이런 소셜살롱 보셨나요?   영화테마살롱 -  컴'온무비,(주)컴'온살롱,579%,"2,895,000원",펀딩성공,36,46,컴'온무비는 회의실처럼 답답한 공간에서 하는 소셜살롱이 아닙니다.,2019.12.18-2020.01.15,"500,000원"
4,모임,"완소균이부터 코스토리까지 과거의 경험, 미래의 도전을 공유합니다!",ABT,477%,"2,385,000원",펀딩성공,81,22,"코스토리 창업 후 8년이 지나, 다시 새롭게 창업을 결정하게 된 저의 이야기를 많은 분들과 공유하고 나누고 싶습니다. 저와 다양한 생각을 공유하고 나누어 봐요!",2019.10.18-2019.10.27,"500,000원"
5,모임,맥주로 만나는 새로운 경험! 비어스픽 프로그램 멤버십,비어스픽,468%,"4,684,000원",펀딩성공,99,46,"맥주를 통한 새로운 경험을 제안하는 비어스픽에서, 2019년 연말 맥주 큐레이션 페어링 프로그램 라인업을 공개합니다.",2019.10.25-2019.11.03,"1,000,000원"
6,모임,[온라인앵콜]퇴사/이직/부업/투잡 전 진짜 내가 하고 싶은 일을 찾는 법,주식회사 사하라라이프,315%,"3,150,000원",펀딩성공,11,24,퇴사/이직/창업/부업/투잡을 앞두고 있나요? 16년 노하우로 '진짜' 하고 싶은 일을 찾아 드립니다. 수개월 간의 검증을 거친 실시간 온라인 모임을 드디어 오픈합니다.,2020.09.25-2020.10.05,"1,000,000원"
7,모임,습관의 탄생 by 생각식당 개업 1주년 기념,생각식당 (김우정),247%,"2,475,001원",펀딩성공,19,14,"습관의 탄생, 49일 만에 만드는 평생습관.",2019.07.03-2019.07.21,"1,000,000원"
8,모임,라이프쉐어 다이빙 클럽 - ME '나는 나를 얼마나 알고 있을까요?',라이프쉐어,245%,"2,940,000원",펀딩성공,16,27,"100가지 인생 질문으로 스스로를 해소하는 커뮤니티 ‘라이프쉐어 다이빙 클럽 - Me' 내 자신에게 꼭 필요한 질문을 던지고 답하며, 나를 지키는 자기철학을 만들어가봐요.",2019.04.08-2019.04.22,"1,200,000원"
9,모임,"언젠가 홀로 설 당신에게 보내는 ""선택"" 이야기 [가수 류세라]",라이프온어스,189%,"1,060,000원",펀딩성공,23,21,"지금 하고 계신 일, 정말 자신이 원해서 하고 계신 건가요?",2019.04.12-2019.04.21,"560,000원"
10,모임,"직장인의 딴짓을 돕는 멤버십커뮤니티, 딴짓클럽 ",딴짓클럽 ,175%,"1,750,000원",펀딩성공,32,57,"딴짓이 경쟁력이 되는 시대! 직장인의 생산적 딴짓을 돕는 멤버십 커뮤니티, 딴짓클럽은 모든 사람들이 자유롭게 딴짓하는 날을 위해 오늘도 노력합니다!",2019.10.01-2019.10.17,"1,000,000원"
11,모임,[시크릿사파리] 블랙뮤직과 춤을 사랑하는 2030의 신나는 연말파티!,카리브사파리 (최정아),158%,"790,000원",펀딩성공,25,36,"카리브사파리는 블랙뮤직을 기반으로 좋은 사람들과 함께 네트워킹 하는 다양한 컨셉의 파티입니다. 2019년의 마지막을 화려하게 장식할 연말파티, 놀고 싶다면 지금 바로 신청하세요!",2019.12.03-2019.12.15,"500,000원"
12,모임,"나는 무엇을 좋아할까요? by 인문,예술 모임공간 CABINET",카비네,149%,"3,264,000원",펀딩성공,29,31,취향의 탄생! 나는 무엇을 좋아할까요?,2019.10.03-2019.10.31,"2,180,000원"
13,모임,"""육아는 누구나 처음이라"" 양육자를 위한 커뮤니티 <123swing>",주식회사 콜렉티브,143%,"2,865,000원",펀딩성공,29,25,육아가 처음인 양육자도 돌봄과 연결이 필요해요. '양육자'로부터 시작하는 양육 커뮤니티 서비스 123swing과 함께 양육자와 아이에게 '지금 필요한' 시간을 나눠요!,2019.08.21-2019.09.01,"2,000,000원"
14,모임,라이프쉐어 다이빙 클럽 - WORK '내게 맞는 일은 무엇일까요?',라이프쉐어,121%,"1,460,000원",펀딩성공,6,14,100가지 인생질문으로 스스로를 해소하는 커뮤니티 < 라이프쉐어 다이빙 클럽 - WORK > 내 '일'의 이유와 가치. 그리고 Next Step에 대해서 생각해봅니다.,2019.04.08-2019.04.22,"1,200,000원"
15,모임,라이프쉐어 다이빙클럽 - LOVE  '내 사랑은 왜 어려울까요?',라이프쉐어,120%,"2,050,000원",펀딩성공,7,14,라이프쉐어가 선보이는 인생토론 커뮤니티 '라이프쉐어 - 다이빙 클럽'. 스팟 LOVE는 사랑을 주제로 나를 알아가는 커뮤니티입니다.,2019.04.08-2019.04.22,"1,700,000원"
