,categories,title,company_names,percentages,funding_amounts,days_left,n_supporters,likes,descriptions,durations,target_amounts
0,출판,1.5억 앵콜ㅣ펼치는 순간 고흐에 빠져들다. 갤러리북 한정판 에디션,유화컴퍼니,994%,"99,476,420원",25일 남음,"1,561",365,해외 명화집에서도 느끼기 어려운 명화의 깊이에 빠져들게 만드는 책! 명화를 글보다 그림으로 먼저 느끼게 만들어주는 책!,2021.04.24-2021.05.24,"10,000,000원"
1,출판,"[리워드펀딩, 이것만 보세요] 와디즈가 알려주지 않는 꿀TIP 대방출",주식회사 투인리브,147%,"738,800원",25일 남음,40,26,"실제 펀딩 경험을 바탕으로 [와디즈 리워드 크라우드펀딩] 전략과,  [제품 제작부터 크라우드펀딩까지]의 모든 과정을 낱낱히 공개합니다 !! (※지나친 낱낱주의)",2021.04.27-2021.05.24,"500,000원"
2,출판,"영어 독해 상위 1% 시크릿, 영어 문장을 술술 해석하는 노하우!",파워잉글리쉬,864%,"4,323,100원",1일 남음,231,172,"영어 문장을 술술 해석할 수 있는 상위 1% 시크릿, 파워리딩! 독해뿐만 아니라 말하기와 듣기 영어 실전 능력까지 획기적으로 향상시킬 수 있는 원리와 방법!",2021.03.03-2021.04.30,"500,000원"
3,출판,4차앵콜.스마트스토어 투잡의 모든 것. 구매대행과 병행수입을 한방에!,임민혁 (임민혁),89%,"445,950원",4일 남음,24,9,평범한 남자 임호입니다. 부업으로 시작한 스토어로 현재는 퇴직 후 디지털 노마드의 삶을 살고있습니다 구매대행으로 시작해서 직접 수입하는 병행수입까지 모든 노하우를 알려드리겠습니다.,2021.04.26-2021.05.03,"500,000원"
4,출판,출판 편집자가 공개하는 전자책 제작의 모든 노하우,김현미 (김현미),127%,"635,000원",7일 남음,26,27,E-pub 제작에 필요한 모든 실무 기술을 담았습니다.,2021.04.06-2021.05.06,"500,000원"
5,출판,홍보기사 100만 노출 비결! 혼자하는 언론홍보 실전 가이드 [전자책],캐스트라인,102%,"510,000원",4일 남음,46,23,보도자료(홍보기사)를 작성해 포털이나 언론사에 기사를 게재하는 방법 및 홍보기사의 노출을 높이고 대중의 주목을 이끄는  비법 등을 담은 온라인 언론홍보 노하우 실전서,2021.04.10-2021.05.03,"500,000원"
6,출판,"[앵콜 펀딩] 그 PPT, 만드는 법(개정판)",황광원 (황광원),63%,"318,600원",7일 남음,29,41,우리가 접하는 피피티를 직접 만들 수 있도록 현실적이며 유용한 도움을 주는 내용을 담고 있는 PPT 제작 도움서입니다.,2021.04.15-2021.05.06,"500,000원"
7,출판,단 두권으로 영어회화 끝내기!,주식회사 퀸블루,38%,"380,000원",18일 남음,18,31,[스프 말하기 영어],2021.04.23-2021.05.17,"1,000,000원"
8,출판, 나무의 발자국 또다른 나의 우주 <LEAF>,르네프로덕션(RENEPRODUCTION),12%,"126,500원",25일 남음,3,6,"나무의 발자국 또다른 나의 우주,  <LEAF>",2021.04.21-2021.05.24,"1,000,000원"
9,출판,"스타벅스를 통해 보는 4차산업 혁명의 미래, 마케팅 트렌드의 모든 것!",챌린지노마드,6%,"32,400원",21일 남음,8,6,"베스트셀러 '스타벅스 100호점의 숨겨진 비밀' 저자,",2021.04.26-2021.05.20,"500,000원"
10,출판,[앵콜] 만족4.9 영어 원서를 가장 쉽게 읽는 책 (5권이 1권에!),이야기 연구소,8147%,"40,738,400원",펀딩성공,"2,778",1296,이 책은 어려운 영어 원서를 사전 없이도 자신의 수준에 맞춰 읽을 수 있게 한 권으로 만든 단계별 영어 원서입니다.,2019.10.11-2019.11.11,"500,000원"
11,출판,2시간으로 완전히 끝내는 혁신적인 영어 문법 특급 비밀,알파와 오메가,4648%,"23,241,900원",펀딩성공,"1,665",651,기존 영문법에서 벗어나 영문법을 본질을 꿰뚫어 단 2시간으로 문법 공부시간을 줄여주는 영어를 보는 새로운 관점 '나만 알고 싶은 영어 문법의 특급비밀',2020.10.14-2020.11.10,"500,000원"
12,출판,[세상 신기한 그림] 반고흐 미술관과 언론도 극찬한 반고흐 명품 명화집 ,유화컴퍼니,4474%,"44,743,000원",펀딩성공,787,443,"지금까지의 모든 명화책을 넘어서는 마술같은 인쇄, 한국의 출판인이 16년간 연구개발한 공부하는 명화가 아닌 명화의 아름다움을 감상하고 간직할 수 있는 명화책, 갤러리북 시리즈.",2018.11.15-2018.12.26,"1,000,000원"
13,출판,"퇴근 후 1분, 아이에게 아빠를 선물하는 아빠놀이 백과사전",(주)플레이포식스,3027%,"30,272,500원",펀딩성공,"1,667",237,아빠놀이 백과사전은 매일 아빠와 아이가 함께 할 수 있는 간단한 놀이를 소개합니다. 하루 1분 간단한 아빠놀이로 아이에게 아빠를 선물하세요.,2018.03.02-2018.03.27,"1,000,000원"
14,출판,[구독자 1만 달성] 서울대 출신 전문가들이 직접 쓴 트렌드 상식사전,바이트(BYTE),2791%,"27,912,500원",펀딩성공,"1,008",388,"2030이 열광하는 뉴스레터 ""데일리 바이트""의 종이책 출시! 서울대 출신 전문가들이 떠먹여주는 꼭 알아야 하는 비즈니스/경제/테크  상식 사전! BYTE와 함께 성장해요:)",2021.02.26-2021.03.15,"1,000,000원"
15,출판,<한국의 SNS 부자들> 비즈니스의 판을 바꾸다!,(주)더블북코리아,2491%,"12,455,600원",펀딩성공,219,66,"왓챠, 와디즈, 쿠캣, 밀리의 서재, 집닥, 에이블리 등 비즈니스 판을 바꾸는 24개 기업을 소개하는 책 <한국의 SNS 부자들>과 함께  새로운 도전과 변화를 시도해 보세요",2019.09.05-2019.09.15,"500,000원"
16,출판,"불황에도 웃습니다, 투자왕 김단테의 ""절대수익 투자법칙""",주식회사 연플,2430%,"24,303,661원",펀딩성공,688,140,자산이 나를 위해 일하게 하라. 최고의 결과를 선물하는 투자의 황금 비율을 배웁니다. 불황과 호황을 이기는 자산 배분 투자의 모든 것,2020.06.03-2020.06.16,"1,000,000원"
17,출판,"미국 아이비리그 출신이 만든, 직장인을 위한 10분 미드 회화",임서미 (임서미),2312%,"11,564,000원",펀딩성공,447,227,문법 좀 그만 하세요. 미국에 가지 않고도 영어를 잘하는 방법은 문법이 아니라 미드를 잘! 보는 방법에 있습니다. 하루에 딱 10분만 주실래요? 미드 영어를 떠먹여 드립니다.,2020.12.06-2020.12.21,"500,000원"
18,출판,위기를 기회로 바꾸는 방법 공개! <잠든 사이 부자되는 미국 주식 투자>,베가북스,2294%,"22,947,300원",펀딩성공,933,211,"불황을 대비하는 방법, 미국주식 투자!",2020.04.17-2020.05.01,"1,000,000원"
19,출판,2시간으로 완전히 끝내는 혁신적인 영어문법 특급비밀 #만족도 4.7,알파와 오메가,2224%,"11,120,200원",펀딩성공,797,416,기존 영문법에서 벗어나 영문법의 본질을 꿰뚫어 단 2시간으로 문법 공부시간을 줄여주는 영어를 보는 새로운 관점 '나만 알고 싶은 영어문법의 특급비밀',2020.12.23-2021.02.01,"500,000원"
20,출판,"마법 학교의 비밀을 파헤치는 모험이 시작된다! 인터랙션 북, <성도학원>",주식회사 유니크굿컴퍼니,2127%,"21,278,904원",펀딩성공,613,345,"코로나19로 지친 방콕 생활, 집 안에서도 즐길 수 있는 특별한 경험이 필요하다면? 미스터리한 사건을 해결하는 인터랙션 북, <성도학원>을 와디즈에서 최초로 공개합니다.",2020.09.14-2020.10.05,"1,000,000원"
